,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
2015-06-30,12220.0,859.0,0.0,36385.0,280711.0,3457.0,2597.0,288139.0,10907.0,61014.0,50681.0,30171.0,135366.0,0.0,139697.0,22025.0,20222.0,3610.0,65377.0,26030.0,350.0,59.76,106744.0,28.0
2015-07-31,12216.0,874.0,0.0,32318.0,292781.0,3821.0,2626.0,296712.0,15451.0,57314.0,57357.0,33503.0,132761.0,326.0,153775.0,24086.0,25590.0,4724.0,72354.0,25162.0,176.0,51.44,118085.0,34.0
2015-08-31,12198.0,877.0,0.0,32318.0,291680.0,3922.0,2609.0,305609.0,12452.0,49967.0,61480.0,35834.0,145550.0,326.0,139730.0,19041.0,21646.0,5706.0,65344.0,25029.0,173.0,43.19,120511.0,30.0
2015-09-30,12230.0,838.0,0.0,32318.0,284311.0,3422.0,2613.0,280736.0,18330.0,47504.0,51972.0,26979.0,135177.0,650.0,145540.0,19397.0,30593.0,5193.0,64054.0,23692.0,317.0,45.43,117390.0,33.0
2015-10-31,12354.0,775.0,0.0,32318.0,291381.0,3582.0,2620.0,274087.0,15063.0,57923.0,47511.0,22478.0,130334.0,620.0,143113.0,20099.0,20897.0,3257.0,68457.0,27401.0,737.0,46.5,112082.0,33.0
2015-11-30,12536.0,744.0,0.0,32318.0,279963.0,3819.0,2603.0,274532.0,16144.0,56992.0,47433.0,21406.0,131425.0,1087.0,147099.0,24483.0,24979.0,3368.0,65432.0,27441.0,166.0,42.79,102391.0,30.0
2015-12-31,12680.0,698.0,0.0,32318.0,287512.0,3866.0,2603.0,302014.0,14378.0,61815.0,55909.0,20320.0,149491.0,101.0,163253.0,28588.0,28374.0,3259.0,70103.0,28901.0,384.0,37.29,109310.0,25.0
2016-01-31,12784.0,619.0,0.0,32318.0,285235.0,3877.0,2598.0,300915.0,15670.0,56801.0,55321.0,23737.0,149386.0,0.0,154285.0,27618.0,19391.0,4191.0,72335.0,28600.0,335.0,32.29,106127.0,28.0
2016-02-29,12714.0,502.0,0.0,32318.0,262754.0,3797.0,2535.0,291915.0,21281.0,56048.0,50596.0,25078.0,138912.0,0.0,143086.0,29821.0,17101.0,4800.0,62753.0,25633.0,268.0,30.6,98287.0,27.0
2016-03-31,12698.0,464.0,0.0,32318.0,282106.0,3767.0,2527.0,310038.0,21525.0,64712.0,57962.0,24494.0,141345.0,0.0,157839.0,29383.0,24972.0,4502.0,71930.0,24747.0,1148.0,38.1,108380.0,28.0
